filename, language, JSON, TypeScript, JavaScript, comment, blank, total
/Users/rasheenruwisha/final-year-proj/blockchain/src/addons.ts, TypeScript, 0, 5, 0, 0, 0, 5
/Users/rasheenruwisha/final-year-proj/blockchain/src/address.ts, TypeScript, 0, 7, 0, 0, 1, 8
/Users/rasheenruwisha/final-year-proj/blockchain/src/appconfig.ts, TypeScript, 0, 6, 0, 0, 1, 7
/Users/rasheenruwisha/final-year-proj/blockchain/src/business.ts, TypeScript, 0, 37, 0, 0, 2, 39
/Users/rasheenruwisha/final-year-proj/blockchain/src/businesscontract.ts, TypeScript, 0, 915, 0, 12, 118, 1045
/Users/rasheenruwisha/final-year-proj/blockchain/src/businessuser.ts, TypeScript, 0, 8, 0, 0, 1, 9
/Users/rasheenruwisha/final-year-proj/blockchain/src/businessuserreq.ts, TypeScript, 0, 8, 0, 0, 1, 9
/Users/rasheenruwisha/final-year-proj/blockchain/src/cart.ts, TypeScript, 0, 8, 0, 0, 3, 11
/Users/rasheenruwisha/final-year-proj/blockchain/src/cartAddons.ts, TypeScript, 0, 5, 0, 0, 1, 6
/Users/rasheenruwisha/final-year-proj/blockchain/src/cartProduct.ts, TypeScript, 0, 10, 0, 0, 3, 13
/Users/rasheenruwisha/final-year-proj/blockchain/src/category.ts, TypeScript, 0, 9, 0, 0, 2, 11
/Users/rasheenruwisha/final-year-proj/blockchain/src/contact.ts, TypeScript, 0, 4, 0, 0, 1, 5
/Users/rasheenruwisha/final-year-proj/blockchain/src/deliveryLocation.ts, TypeScript, 0, 6, 0, 0, 0, 6
/Users/rasheenruwisha/final-year-proj/blockchain/src/index.ts, TypeScript, 0, 3, 0, 3, 3, 9
/Users/rasheenruwisha/final-year-proj/blockchain/src/keyvalue.ts, TypeScript, 0, 4, 0, 0, 1, 5
/Users/rasheenruwisha/final-year-proj/blockchain/src/openhours.ts, TypeScript, 0, 6, 0, 0, 1, 7
/Users/rasheenruwisha/final-year-proj/blockchain/src/product.ts, TypeScript, 0, 16, 0, 0, 1, 17
/Users/rasheenruwisha/final-year-proj/blockchain/src/purchaseOrder.ts, TypeScript, 0, 20, 0, 0, 3, 23
/Users/rasheenruwisha/final-year-proj/blockchain/src/theme.ts, TypeScript, 0, 4, 0, 0, 1, 5
/Users/rasheenruwisha/final-year-proj/blockchain/src/times.ts, TypeScript, 0, 4, 0, 0, 0, 4
/Users/rasheenruwisha/final-year-proj/blockchain/src/usercredentials.ts, TypeScript, 0, 7, 0, 0, 1, 8
/Users/rasheenruwisha/final-year-proj/blockchain/src/util/businessutil.ts, TypeScript, 0, 47, 0, 3, 10, 60
/Users/rasheenruwisha/final-year-proj/blockchain/src/variant.ts, TypeScript, 0, 4, 0, 0, 0, 4
/Users/rasheenruwisha/final-year-proj/blockchain/src/variantgroup.ts, TypeScript, 0, 5, 0, 0, 1, 6
/Users/rasheenruwisha/final-year-proj/blockchain/tsconfig.json, JSON, 16, 0, 0, 0, 1, 17
/Users/rasheenruwisha/final-year-proj/blockchain/tslint.json, JSON, 21, 0, 0, 0, 1, 22
Total, -, 3172, 1387, 1105, 76, 185, 5925
